,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_n,STATE_NAME_n,Heart disease_number
1559,29157,19150,2297,11.99477807,2577,13.45691906,2286,11.93733681,2168,11.32114883,2355,12.29765013,2698,14.08877285,2468,12.88772846,1401,7.315926893,900,4.699738903,18573,96.98694517,126,0.657963447,111,0.579634465,113,0.590078329,22,0.114882507,205,1.070496084,19150,-44,286,11.2,12.0,-0.8,-0.3,-1.0,-1.4,1631,5840,3507,2088,12.5,44.7,26.8,16.0,2040,10.9,14.9,13.3,53871,48256,59486,10173,9935,238,2.3,53871,99.0,273.1,236.3,86.6,79.0,7.0,6.3,10.68082309,2.07865009,0.381346332,11.9123842,8.552160369,33.9617041,0,19135,4591,24.0,29,157,14680,47.1,44.7,49.4,6908,34.4,32.5,36.2,5050,8.2,7.4,9.1,10.0,8.6,11.6,1463,11.7,10.8,12.7,1722,3.1,2.9,3.4,458,6,52,25,1206
2205,40153,20222,2761,13.65344674,2661,13.15893581,2682,13.26278311,2835,14.01938483,2461,12.16991396,2440,12.06606666,2158,10.67154584,1436,7.101176936,788,3.896746118,18376,90.87132826,417,2.062110573,739,3.654435763,161,0.796162595,11,0.054396202,518,2.561566611,20222,-275,1232,13.0,12.9,0.0,1.3,-14.9,-13.6,1641,5616,3811,2738,11.9,40.7,27.6,19.8,2816,14.8,22.5,21.6,55134,49663,60605,9286,9030,256,2.8,55134,106.2,206.7,189.1,73.9,68.5,6.2,5.8,5.800310367,6.605481655,0.641059943,6.764464521,11.59036377,23.90897164,6,21140,4043,19.1,40,153,15273,46.9,44.7,48.8,7156,34.9,33.2,36.5,5330,7.9,7.1,8.7,8.1,7.0,9.3,1241,11.5,10.6,12.3,1749,2.9,2.7,3.2,450,5,1357,36,1202
2483,47115,28575,3189,11.16010499,3424,11.98250219,3283,11.48906387,3137,10.97812773,3597,12.58792651,4087,14.30271216,4020,14.06824147,2654,9.28783902,1184,4.143482065,26635,93.21084864,1165,4.076990376,130,0.454943132,177,0.619422572,8,0.0279965,460,1.609798775,28575,157,250,10.9,12.6,-1.7,0.1,7.1,7.2,3842,8008,6088,2355,18.9,39.5,30.0,11.6,4337,15.3,23.5,22.3,50819,49191,52447,12265,11690,575,4.7,50819,97.0,253.1,225.8,85.1,77.8,8.1,7.4,24.26127879,5.031218565,0.485394409,15.14008473,10.49296087,42.642954,0,28355,7204,25.4,47,115,22562,52.6,50.4,54.8,11877,38.2,36.3,40.0,8619,10.0,9.0,10.9,12.2,10.6,13.8,2752,14.6,13.5,15.7,3293,3.6,3.3,3.9,814,3,46,42,2250
2690,48339,590925,83544,14.13783475,86624,14.65905149,71522,12.10339722,79438,13.44299192,80916,13.69310826,77358,13.0910014,61451,10.39912002,35047,5.930871092,15025,2.542623852,521266,88.21187122,33160,5.611541228,5841,0.988450311,18704,3.165207091,688,0.116427635,11266,1.906502517,590925,18779,3202,12.7,7.1,5.6,2.8,23.8,26.6,45597,80427,109691,125054,12.6,22.3,30.4,34.7,54400,9.3,12.9,11.8,77598,74462,80734,275152,264818,10334,3.8,77598,128.0,224.8,199.9,72.9,66.5,6.2,5.4,203.8251374,120.2980078,10.767732,223.5899992,197.8956788,697.9055057,97,535187,96577,18.0,48,339,435191,40.8,38.7,42.9,177437,34.0,32.3,35.4,147965,6.5,5.8,7.2,6.4,5.3,7.5,27802,10.7,9.8,11.6,46565,2.7,2.6,2.9,11942,2,50,43,28102
1531,29101,53652,6535,12.18034742,7510,13.99761425,12551,23.39334974,6553,12.21389697,5102,9.509431149,5867,10.93528666,4937,9.201893685,2966,5.528218892,1631,3.039961232,47962,89.39461716,2691,5.015656453,343,0.639305152,960,1.789308879,178,0.331767688,1518,2.829344666,53652,-107,3684,12.8,7.1,5.7,0.2,-7.9,-7.7,2478,9392,10336,8808,8.0,30.3,33.3,28.4,7032,14.1,13.9,12.9,52151,48595,55707,22777,21933,844,3.7,52151,95.8,273.1,236.3,86.6,79.0,7.0,6.3,29.92415251,5.823693714,1.068406967,33.37458157,23.96033985,95.14952211,0,53941,8743,16.2,29,101,42216,40.0,37.8,42.1,16901,33.0,31.3,34.7,13931,5.9,5.4,6.5,7.0,6.1,8.0,2970,8.8,8.1,9.5,3723,2.4,2.3,2.6,1030,5,136,25,2509
1128,22035,7037,1011,14.36691772,876,12.44848657,1149,16.32798067,863,12.26374876,801,11.38269149,883,12.54796078,757,10.75742504,443,6.295296291,254,3.609492682,2056,29.21699588,4832,68.66562456,24,0.341054427,36,0.51158164,0,0.0,89,1.264743499,7037,-96,1067,14.4,9.3,5.1,-0.3,-18.3,-18.6,1518,1872,1021,409,31.5,38.8,21.2,8.5,2720,45.7,61.5,64.8,27714,24886,30542,1962,1759,203,10.3,27714,57.7,260.3,231.8,84.1,75.8,9.1,7.8,3.569859772,1.158241305,0.238594689,3.785803066,2.706086595,11.3151266,0,7318,1369,18.7,22,35,5303,64.8,63.0,66.6,3438,49.2,47.4,50.8,2609,12.1,11.3,12.8,14.7,13.4,16.0,778,22.4,21.3,23.5,1187,5.3,5.0,5.7,283,6,761,18,639
2092,39103,179146,20206,11.27906847,23772,13.26962366,18863,10.5294006,21244,11.85848414,23603,13.1752872,26913,15.02294218,23212,12.95702946,14216,7.93542697,7117,3.97273732,171408,95.68061804,2603,1.453004812,344,0.19202215,2318,1.293916694,42,0.023444565,2431,1.356993737,179146,906,1199,9.8,8.5,1.3,0.2,3.6,3.8,6282,38916,36879,41020,5.1,31.6,30.0,33.3,11474,6.5,7.5,6.7,76475,73221,79729,96495,92384,4111,4.3,76475,136.2,292.7,248.6,93.7,83.7,8.3,7.1,92.55041378,34.26771406,2.973137982,121.1630355,82.84940171,349.144482,12,176362,40244,22.8,39,103,139159,39.2,36.8,41.5,54548,30.1,28.4,32.0,41887,7.0,6.3,7.8,7.7,6.4,9.0,10680,10.5,9.6,11.5,14667,2.7,2.5,2.9,3772,2,1301,35,9713
1414,28031,18853,2539,13.46735268,2545,13.49917785,2419,12.8308492,2339,12.40651355,2184,11.58436323,2448,12.98467087,2206,11.70105553,1409,7.473611627,764,4.052405453,11705,62.08560972,6811,36.12687636,38,0.201559434,80,0.42433565,9,0.047737761,210,1.11388108,18853,-192,237,13.0,12.1,0.9,0.1,-11.1,-11.0,2105,4634,3521,2167,16.9,37.3,28.3,17.4,4910,26.5,36.0,32.1,36083,32043,40123,8288,7926,362,4.4,36083,80.7,191.3,174.8,65.9,61.2,7.1,6.7,13.16824475,0.675456466,0.624955048,7.442646483,6.925006948,21.3431618,0,19172,4312,22.5,28,31,14214,56.8,55.0,58.6,8081,39.5,38.1,40.9,5615,9.3,8.6,10.1,10.4,9.3,11.7,1482,15.7,14.8,16.6,2225,3.8,3.6,4.1,544,6,19,24,1327
912,20053,6196,600,9.683666882,631,10.18398967,848,13.68624919,820,13.23434474,720,11.62040026,817,13.1859264,880,14.20271143,517,8.344092963,363,5.858618464,5662,91.38153648,326,5.261459006,50,0.80697224,38,0.613298903,0,0.0,120,1.936733376,6196,-111,978,10.2,11.2,-1.0,-0.2,-16.5,-16.6,400,1544,1675,925,8.8,34.0,36.9,20.4,622,11.9,14.2,13.7,50261,44755,55767,2722,2646,76,2.8,50261,86.4,227.6,206.5,88.0,80.5,6.8,6.3,3.494354981,1.77058669,0.295807151,2.564371347,3.807187005,8.114479625,0,6331,1772,28.0,20,53,5059,49.0,46.8,51.3,2481,39.8,38.1,41.6,2013,8.2,7.4,9.2,8.2,7.0,9.5,413,12.7,11.7,13.8,643,3.2,3.0,3.5,164,6,638,16,416
2599,48157,787858,115007,14.59742746,121536,15.42613009,89610,11.37387702,110508,14.02638547,119832,15.20984746,99900,12.67994994,78676,9.986063478,37291,4.733213346,15498,1.967105747,434361,55.13188925,166491,21.13210756,4748,0.60264667,163833,20.79473712,723,0.091767806,17702,2.24685159,787858,21722,5117,12.8,4.7,8.1,7.1,12.8,19.9,46214,83705,124372,217907,9.8,17.7,26.3,46.1,61455,7.9,10.4,9.8,92310,89314,95306,382102,366922,15180,4.0,92310,152.2,224.8,199.9,72.9,66.5,6.2,5.4,271.752363,160.3887936,14.35621069,298.1041072,263.8468397,930.4910707,128,711421,107897,15.2,48,157,571354,33.6,32.3,35.1,192056,28.7,27.7,29.7,163979,5.2,4.8,5.6,4.6,4.0,5.1,26032,11.2,10.6,11.8,63795,2.5,2.4,2.6,14334,2,1553,43,29483
