,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_n,STATE_NAME_n,Heart disease_number
2252,42021,131730,13324,10.11462841,15735,11.94488727,15356,11.65717756,13456,10.21483337,15132,11.48713277,18372,13.94670918,20097,15.25620588,12027,9.130038716,8231,6.248386852,123829,94.00212556,4792,3.63774387,193,0.146511804,732,0.555682077,75,0.056934639,2109,1.60100205,131730,-1324,5980,9.8,13.2,-3.5,0.4,-6.9,-6.5,8351,43146,23989,20583,8.7,44.9,25.0,21.4,18520,14.7,22.6,21.7,45163,42204,48122,58344,55313,3031,5.2,45163,74.2,320.5,273.3,100.8,88.2,8.7,7.2,72.03098838,58.30982052,2.046860872,106.7247659,74.09842071,275.3182159,30,135871,39200,28.9,42,21,106421,45.8,43.4,48.0,48705,33.0,31.4,34.6,35119,8.8,7.9,9.7,9.1,7.7,10.5,9729,12.8,11.6,13.8,13586,3.4,3.2,3.7,3627,4,1380,38,9325
1057,21133,21899,2627,11.99598155,2530,11.55303895,2298,10.49362985,2593,11.84072332,2735,12.48915476,3181,14.52577743,3225,14.72669985,1873,8.552901959,837,3.822092333,21499,98.17343258,131,0.598200831,42,0.191789579,48,0.219188091,0,0.0,179,0.817388922,21899,-429,243,11.8,13.3,-1.5,0.0,-18.0,-18.0,4005,6056,4216,1893,24.8,37.5,26.1,11.7,6717,31.1,36.0,35.9,32321,29084,35558,6316,5904,412,6.5,32321,64.4,230.9,214.6,77.3,72.9,8.3,7.6,14.37911495,4.832245174,0.514590003,9.67919292,9.311628631,31.63993392,6,23011,5498,23.9,21,133,17160,64.2,62.1,66.2,11012,40.5,38.8,42.2,6950,12.9,11.7,14.2,16.8,14.7,19.1,2891,18.7,17.2,20.1,3203,4.3,3.9,4.7,731,6,725,17,2212
511,13257,26035,3105,11.92625312,3488,13.39734972,3535,13.57787594,2734,10.50124832,2919,11.21183023,3418,13.12848089,3431,13.17841367,2394,9.195314,1011,3.883234108,22138,85.03168811,2870,11.02362205,132,0.507009795,238,0.914154023,22,0.084501632,635,2.43902439,26035,250,775,11.1,13.7,-2.6,0.0,12.2,12.3,2856,6343,4260,3826,16.5,36.7,24.6,22.1,4092,16.3,25.6,24.1,45850,43064,48636,10964,10468,496,4.5,45850,78.2,228.7,202.9,79.1,71.9,7.0,6.1,11.91680431,8.234103413,0.358865343,12.32021845,8.441997818,31.64944829,6,25625,6327,24.7,13,257,20248,46.5,44.5,48.7,9425,32.7,31.1,34.4,6621,8.5,7.7,9.4,9.9,8.4,11.4,1996,13.3,12.3,14.4,2697,3.5,3.2,3.7,700,5,421,10,1716
1315,27007,46847,6825,14.56870237,6772,14.45556813,7502,16.01383226,5588,11.92819177,4485,9.573718701,5306,11.3262322,5320,11.35611672,3099,6.61515145,1950,4.162486392,34265,73.14235703,376,0.802612761,10291,21.96725511,352,0.751382159,22,0.046961385,1541,3.289431554,46847,363,2095,14.2,9.3,4.9,0.8,2.1,2.9,2437,7906,9914,7907,8.7,28.1,35.2,28.1,8220,18.4,23.6,22.3,47073,43045,51101,24088,23100,988,4.1,47073,67.0,302.7,265.0,104.9,96.0,7.4,6.6,24.04474354,15.12815114,1.060306399,26.84161475,29.27113571,78.33744049,10,45847,9482,20.7,27,7,35078,42.3,40.5,44.1,14852,35.4,33.9,36.7,12418,7.4,6.7,8.1,6.6,5.7,7.6,2325,10.8,10.0,11.6,3799,3.2,3.0,3.4,1123,5,896,23,2596
1729,31155,21303,2761,12.96061588,2872,13.48166925,2171,10.1910529,2504,11.75421302,2323,10.90456743,3246,15.23729052,2739,12.85734404,1657,7.778247195,1030,4.834999765,20669,97.02389335,117,0.54921842,104,0.488194151,88,0.413087359,1,0.004694175,324,1.520912548,21303,284,334,11.9,9.2,2.7,0.3,10.4,10.8,1035,4253,5370,3620,7.2,29.8,37.6,25.4,1637,7.8,8.3,7.1,67897,62680,73114,10948,10650,298,2.7,67897,113.7,239.2,214.5,88.2,80.3,6.8,6.2,11.53890232,9.07653369,1.026907096,9.871558539,13.91293485,30.31032236,0,20953,5028,24.0,31,155,16129,45.7,43.4,47.9,7371,36.5,34.7,38.4,5887,6.9,6.2,7.7,6.8,5.7,7.9,1098,10.2,9.2,11.1,1643,2.8,2.6,3.1,458,3,1100,27,1114
100,4012,21098,1934,9.166745663,1957,9.275760736,1914,9.071949948,1801,8.536354157,1609,7.626315291,2243,10.63133946,3035,14.38524979,4224,20.02085506,2381,11.2854299,16143,76.51436155,256,1.213385155,3837,18.18655797,205,0.971656081,29,0.137453787,628,2.976585458,21098,363,388,9.9,14.6,-4.7,3.5,18.5,21.9,3606,5248,5084,1972,22.7,33.0,32.0,12.4,4921,23.7,31.8,32.2,37350,33870,40830,8938,8381,557,6.2,37350,63.2,242.0,224.0,78.1,73.2,6.9,6.1,10.01115978,5.707214216,0.244174629,9.781694467,7.910669601,27.26812813,3,20477,9183,44.8,4,12,17558,54.5,52.3,56.6,9566,34.6,33.1,36.0,6075,14.5,12.9,16.1,12.6,10.7,14.5,2215,17.7,16.3,19.0,3108,5.5,5.1,6.0,970,6,100,2,2538
12,1025,23920,2704,11.30434783,3045,12.72993311,2911,12.16973244,2557,10.68979933,2871,12.00250836,3419,14.29347826,2996,12.52508361,2220,9.280936455,1197,5.004180602,12781,53.43227425,10674,44.62374582,126,0.526755853,104,0.434782609,5,0.02090301,230,0.961538462,23920,-177,280,11.1,12.8,-1.7,-0.1,-5.5,-5.6,3175,7372,4205,2118,18.8,43.7,24.9,12.6,5381,22.8,31.7,31.4,40741,36839,44643,7627,7057,570,7.5,40741,81.7,217.1,196.7,77.2,71.2,7.6,6.9,12.41543404,2.618154203,0.494268363,11.18221001,9.141517851,31.03613823,0,24625,6134,24.9,1,25,18725,57.4,55.7,58.9,10741,40.5,39.2,41.7,7584,10.7,9.9,11.5,11.5,10.3,12.8,2161,19.1,18.1,20.1,3575,4.3,4.1,4.6,811,6,12,0,2003
644,17103,34223,3602,10.52508547,3827,11.18253806,4064,11.87505479,4283,12.51497531,4196,12.26076031,5033,14.70648394,4604,13.452941,2815,8.225462408,1799,5.256698711,31369,91.66057914,1904,5.56350992,125,0.365251439,289,0.844461327,17,0.049674196,519,1.516523975,34223,-288,3035,9.5,11.8,-2.3,0.2,-6.4,-6.1,2785,8532,9232,4418,11.2,34.2,37.0,17.7,3148,10.1,14.3,13.3,54915,50123,59707,17831,17043,788,4.4,54915,84.4,284.4,240.5,99.6,87.2,7.0,5.8,13.33079684,6.693601798,0.502288738,25.92293377,16.26126215,57.43819456,6,34670,8585,24.8,17,103,27483,45.5,43.2,47.6,12494,33.7,32.0,35.3,9262,7.9,7.1,8.8,8.8,7.5,10.2,2411,11.2,10.3,12.1,3071,3.2,2.9,3.4,873,5,40,13,2173
1691,31079,61607,9376,15.21904978,8982,14.57951207,7724,12.53753632,8045,13.05858101,7229,11.73405619,7524,12.21289788,6464,10.49231419,3847,6.244420277,2416,3.921632282,55992,90.88577597,2277,3.69600857,1192,1.934845066,891,1.446264223,277,0.449624231,978,1.587481942,61607,230,1039,15.1,8.7,6.4,5.9,-8.6,-2.7,6026,12202,12887,8235,15.3,31.0,32.7,20.9,7839,13.0,18.4,16.0,53792,49388,58196,31628,30629,999,3.2,53792,90.1,239.2,214.5,88.2,80.3,6.8,6.2,33.36981435,26.24879177,2.969753813,28.54795601,40.23537425,87.65563675,16,61233,11885,19.4,31,79,44687,45.8,44.1,47.3,20472,37.3,36.0,38.5,16668,6.7,6.0,7.4,6.9,5.9,8.0,3103,11.0,10.2,11.8,4937,3.0,2.8,3.2,1331,4,388,27,2997
778,18167,107386,12223,11.38230309,13949,12.98958896,19363,18.0312145,12936,12.04626301,12027,11.19978396,12815,11.93358538,12159,11.32270501,7498,6.982288194,4416,4.112267893,94359,87.86899596,7837,7.297971803,417,0.388318775,2171,2.021678804,43,0.040042464,2559,2.382992196,107386,-295,9587,11.7,11.0,0.7,1.2,-4.5,-3.4,8236,22265,21677,16918,11.9,32.2,31.4,24.5,18824,19.2,21.6,18.2,48335,46002,50668,49142,46989,2153,4.4,48335,86.7,230.8,212.0,80.3,74.4,6.5,6.1,55.4110308,13.55989604,2.118232281,42.22022069,53.32489295,139.7070473,54,107723,22306,20.7,18,167,85421,46.2,43.9,48.3,39450,32.2,30.7,33.7,27506,7.6,6.9,8.4,9.8,8.3,11.2,8351,12.0,11.1,13.0,10277,3.1,2.9,3.3,2649,4,575,14,6495
1514,29067,13373,1566,11.71016227,1579,11.80737307,1220,9.122859493,1395,10.43146639,1378,10.30434457,1860,13.90862185,2137,15.97995962,1457,10.89508712,781,5.840125626,12861,96.17139011,58,0.433709714,114,0.85246392,43,0.321543408,1,0.007477754,296,2.21341509,13373,101,123,11.2,12.2,-1.1,-0.3,8.9,8.6,1796,4289,2544,1008,18.6,44.5,26.4,10.5,2593,19.7,29.5,27.8,36762,33059,40465,5009,4780,229,4.6,36762,67.6,273.1,236.3,86.6,79.0,7.0,6.3,7.458728315,1.451581601,0.266305196,8.318763128,5.972221442,23.71644224,0,13391,3895,29.1,29,67,10454,54.4,52.0,56.6,5687,37.7,35.8,39.6,3941,12.2,11.0,13.4,14.2,12.3,16.2,1481,16.3,15.0,17.6,1702,4.3,4.0,4.7,454,6,240,25,1274
1382,27141,96036,13469,14.02494898,14302,14.89233204,11490,11.9642634,13879,14.45187221,13476,14.03223791,13403,13.95622475,9155,9.532883502,4590,4.779457703,2272,2.365779499,89482,93.17547586,2749,2.862468241,556,0.578949561,1240,1.291182473,34,0.03540339,1975,2.056520471,96036,1489,2187,12.6,5.7,7.0,0.5,8.2,8.7,3342,16854,23816,16582,5.5,27.8,39.3,27.4,6098,6.5,6.9,5.6,81850,77380,86320,51700,50069,1631,3.2,81850,116.4,302.7,265.0,104.9,96.0,7.4,6.6,49.29154461,31.01259682,2.173620196,55.0251097,60.00560952,160.5911677,0,92024,13888,15.1,27,141,70603,38.7,36.5,40.8,27322,32.8,31.1,34.4,23158,5.1,4.6,5.7,4.8,4.0,5.7,3390,7.7,7.0,8.5,5459,2.3,2.2,2.5,1633,2,941,23,3596
2980,53059,11924,1135,9.518617913,1305,10.94431399,1118,9.376048306,1323,11.09527004,1503,12.60483059,1876,15.73297551,2042,17.1251258,1109,9.300570278,513,4.302247568,11088,92.98892989,80,0.6709158,230,1.928882925,124,1.03991949,25,0.209661188,377,3.161690708,11924,87,25,8.6,7.7,0.9,0.5,6.1,6.6,741,2660,3142,2039,8.6,31.0,36.6,23.8,1390,11.7,16.3,14.9,64344,58710,69978,5335,5036,299,5.6,64344,86.9,278.8,246.3,100.6,91.7,6.9,6.1,4.805620156,3.019138379,0.145576903,5.930676439,6.989273701,17.5910699,0,11498,3238,28.2,53,59,9715,43.3,41.1,45.4,4206,34.2,32.6,35.8,3323,8.2,7.4,9.0,7.8,6.7,9.1,758,11.8,10.9,12.8,1150,3.4,3.1,3.6,327,2,1771,47,796
3108,55125,21938,1933,8.811195186,2119,9.65903911,1665,7.589570608,1750,7.977026165,2014,9.18041754,3579,16.31415808,4219,19.23147051,3088,14.07603246,1571,7.161090346,18941,86.33877291,92,0.419363661,2440,11.12225362,117,0.533321178,4,0.018233203,344,1.568055429,21938,232,200,8.1,13.0,-4.9,0.6,14.8,15.4,1127,5257,5941,4585,6.7,31.1,35.1,27.1,2359,10.9,20.1,18.9,47198,44071,50325,10182,9780,402,3.9,47198,77.7,264.9,238.3,94.6,86.4,7.9,7.1,11.47547565,6.943398615,0.501886965,11.51698509,12.3622684,34.70567232,10,21465,8398,39.1,55,125,18227,49.1,46.6,51.6,8957,33.9,32.0,35.6,6179,10.1,9.0,11.3,8.8,7.4,10.4,1610,13.0,11.8,14.3,2372,4.0,3.7,4.3,726,6,1825,49,1844
2019,38063,2869,301,10.49146044,300,10.45660509,245,8.539560823,274,9.550365981,263,9.166957128,439,15.30149878,489,17.04426629,321,11.18856745,237,8.26071802,2731,95.18996166,24,0.836528407,52,1.812478215,7,0.243987452,1,0.03485535,54,1.882188916,2869,-40,79,9.3,17.3,-8.0,0.3,-5.9,-5.5,183,681,840,499,8.3,30.9,38.1,22.7,301,10.8,11.2,9.6,50093,44721,55465,1425,1377,48,3.4,50093,76.8,237.6,217.1,87.0,79.6,10.5,9.7,1.72500023,0.856838189,0.147210085,1.324890768,2.215700515,3.408479667,0,2971,1067,35.9,38,63,2315,49.9,47.1,52.3,1154,38.3,36.4,40.4,887,9.6,8.5,10.7,7.9,6.5,9.3,182,12.8,11.5,14.1,297,3.6,3.3,4.0,84,6,732,34,222
2748,48455,14740,1575,10.68521031,1648,11.18046133,1401,9.504748982,1422,9.647218453,1517,10.2917232,2057,13.95522388,2437,16.53324288,1818,12.33378562,865,5.868385346,12862,87.25915875,1378,9.348710991,132,0.895522388,83,0.563093623,7,0.047489824,278,1.886024423,14740,30,138,9.6,15.1,-5.5,1.0,6.7,7.6,1772,4005,3538,1365,16.6,37.5,33.1,12.8,2581,17.7,30.3,29.1,40486,36300,44672,5346,5071,275,5.1,40486,66.8,224.8,199.9,72.9,66.5,6.2,5.4,5.084202775,3.000706749,0.268589702,5.577216378,4.936298694,17.40851572,0,14481,5058,34.9,48,455,11786,54.0,51.9,56.0,6368,38.2,36.5,39.8,4502,11.7,10.7,12.7,11.5,9.9,13.0,1352,17.0,15.9,18.1,2006,4.4,4.1,4.7,514,5,216,43,1376
1911,37047,55655,5995,10.77171862,6867,12.33851406,7089,12.73740005,6475,11.63417483,6741,12.11211931,7501,13.47767496,7258,13.04105651,5203,9.348665888,2526,4.53867577,35162,63.17851047,17001,30.54712065,2067,3.713952026,335,0.601922559,48,0.08624562,1042,1.872248675,55655,-332,3085,10.1,13.6,-3.5,0.1,-2.6,-2.4,7262,13660,13310,5144,18.4,34.7,33.8,13.1,13279,25.3,36.2,34.0,36862,33275,40449,22338,21223,1115,5.0,36862,68.4,255.0,223.5,86.2,78.1,7.1,6.2,25.28257342,22.73662846,0.600307022,27.09421425,21.56817372,80.28570431,10,56589,14110,24.9,37,47,44010,50.8,49.1,52.4,22361,37.9,36.6,39.2,16680,10.3,9.5,11.0,11.2,10.0,12.4,4941,16.5,15.6,17.3,7244,4.2,4.0,4.5,1861,6,1202,33,4513
2630,48219,22980,3204,13.94255875,3720,16.18798956,3257,14.17319408,3019,13.13751088,2410,10.48738033,2676,11.64490862,2394,10.41775457,1435,6.244560487,865,3.764142733,21283,92.61531767,930,4.046997389,312,1.35770235,129,0.561357702,15,0.065274151,311,1.35335074,22980,-15,807,12.0,9.3,2.7,0.2,-3.5,-3.3,3447,3818,5082,2007,24.0,26.6,35.4,14.0,4300,19.5,28.1,28.1,46764,42307,51221,11562,11203,359,3.1,46764,77.1,224.8,199.9,72.9,66.5,6.2,5.4,7.926389401,4.678171037,0.418737541,8.695008979,7.695803528,27.14027757,0,23273,4565,19.6,48,219,17065,47.6,45.8,49.3,8124,36.6,35.2,38.0,6246,7.9,7.3,8.5,7.7,6.8,8.6,1310,13.5,12.8,14.2,2306,3.3,3.2,3.5,570,5,1569,43,1341
20,1041,13824,1682,12.16724537,1764,12.76041667,1649,11.92853009,1557,11.26302083,1648,11.9212963,1913,13.83825231,1828,13.22337963,1181,8.543113426,602,4.35474537,10062,72.78645833,3244,23.46643519,87,0.629340278,155,1.121238426,6,0.043402778,270,1.953125,13824,-37,132,10.2,13.1,-2.9,-0.1,0.4,0.2,2091,3753,2326,1505,21.6,38.8,24.0,15.6,2661,19.5,30.8,29.3,39057,34833,43281,6298,6041,257,4.1,39057,78.3,217.1,196.7,77.2,71.2,7.6,6.9,7.175207365,1.513100489,0.285650747,6.462494612,5.283124698,17.9366043,0,13866,3371,24.3,1,41,10664,52.7,50.8,54.6,5616,36.6,35.1,38.1,3903,9.8,9.0,10.7,11.1,9.7,12.6,1184,16.4,15.3,17.4,1745,3.9,3.6,4.1,411,6,20,0,1050
749,18109,70116,8046,11.47526955,9421,13.43630555,7993,11.39968053,7909,11.27987906,9034,12.88436306,10831,15.44725883,9090,12.9642307,5349,7.628786582,2443,3.48422614,68224,97.30161447,364,0.519139711,232,0.330880256,424,0.604712191,29,0.041360032,843,1.202293342,70116,306,590,11.1,9.4,1.7,0.2,2.5,2.8,5912,19156,14730,8089,12.3,40.0,30.8,16.9,7339,10.6,14.7,14.5,66151,61236,71066,36392,35160,1232,3.4,66151,118.7,230.8,212.0,80.3,74.4,6.5,6.1,36.1797612,8.853720884,1.383066458,27.56702917,34.81765029,91.21951954,10,69533,15510,22.3,18,109,54270,51.0,48.5,53.2,27659,38.2,36.5,40.0,20731,7.8,7.0,8.6,10.1,8.6,11.6,5471,13.0,11.9,14.0,7052,3.0,2.8,3.3,1641,2,51,14,4212
1123,22025,9608,1116,11.61532057,1138,11.84429642,1367,14.22772689,1282,13.34304746,1110,11.55287261,1223,12.72897585,1261,13.1244796,739,7.691507077,372,3.871773522,6496,67.61032473,2950,30.70358035,47,0.489175687,6,0.06244796,2,0.020815987,107,1.113655287,9608,-225,866,12.2,12.6,-0.3,1.2,-24.0,-22.7,1607,2856,1475,785,23.9,42.5,21.9,11.7,2273,26.0,37.0,35.4,35812,31853,39771,3381,3151,230,6.8,35812,74.6,260.3,231.8,84.1,75.8,9.1,7.8,4.874124298,1.581410041,0.325766345,5.168963459,3.694767658,15.44915963,0,10044,2388,23.8,22,25,7555,55.4,53.4,57.2,4184,42.1,40.5,43.6,3181,9.6,8.9,10.5,11.4,10.2,12.8,862,15.4,14.5,16.4,1167,3.8,3.6,4.1,289,6,756,18,727
117,5017,10438,1262,12.09043878,1297,12.42575206,1245,11.92757233,1127,10.79708756,1166,11.17072236,1416,13.56581721,1459,13.97777352,879,8.421153478,587,5.623682698,4519,43.29373443,5669,54.31117072,49,0.46943859,78,0.747269592,4,0.038321518,119,1.140065147,10438,-201,764,11.5,14.7,-3.2,0.4,-16.2,-15.8,1451,2954,2012,1110,19.3,39.2,26.7,14.7,3039,31.4,44.1,40.9,31787,28649,34925,3340,3110,230,6.9,31787,67.5,207.6,188.2,79.9,75.0,7.0,6.5,4.519701708,0.723844948,0.30477682,3.113572288,5.835783431,12.59628744,0,11008,2835,25.8,5,17,8111,54.3,52.4,56.0,4402,41.8,40.4,43.1,3390,11.5,10.7,12.3,11.6,10.4,12.8,941,19.1,18.0,20.0,1546,4.7,4.4,5.0,385,6,116,3,934
3030,54081,74254,8465,11.40005926,8439,11.36504431,8707,11.72596762,9030,12.16096103,9712,13.07943006,9082,12.23099092,10648,14.33996822,6583,8.865515662,3588,4.832062919,65864,88.7009454,5988,8.064212029,204,0.274732674,710,0.956177445,23,0.030974762,1465,1.972957686,74254,-808,3698,10.0,13.6,-3.6,0.1,-7.3,-7.2,7657,21904,14979,9972,14.0,40.2,27.5,18.3,14596,20.7,24.7,22.9,41298,37106,45490,29465,27908,1557,5.3,41298,93.8,263.4,231.6,100.1,89.4,10.5,9.2,38.73409487,27.46748978,2.302663814,40.13214075,51.02867487,115.2565477,43,77097,20258,26.3,54,81,58794,56.6,54.4,58.6,33305,37.5,36.0,39.0,22048,10.5,9.6,11.6,12.9,11.1,14.7,7598,16.0,14.8,17.2,9405,3.6,3.3,3.9,2121,4,1790,48,6198
1140,22059,14917,1838,12.32151237,1919,12.86451699,2042,13.68907957,2048,13.72930214,1828,12.25447476,1794,12.02654689,1730,11.5975062,1118,7.494804585,600,4.022256486,12699,85.13105852,1819,12.19414091,198,1.32734464,44,0.294965476,5,0.033518804,152,1.018971643,14917,-12,1242,11.1,11.4,-0.3,0.7,-1.0,-0.3,2294,4199,2326,1221,22.8,41.8,23.2,12.2,2659,19.5,24.2,22.8,45742,40778,50706,6289,6013,276,4.4,45742,95.3,260.3,231.8,84.1,75.8,9.1,7.8,7.567372206,2.455234553,0.505771916,8.025127801,5.736349828,23.98575294,0,14930,3353,22.5,22,59,11498,53.2,51.1,55.1,6115,39.4,37.7,41.2,4530,9.3,8.4,10.1,11.2,9.7,12.7,1292,13.7,12.7,14.6,1571,3.5,3.3,3.8,407,6,768,18,1065
1530,29099,224347,27650,12.32465778,29055,12.95091978,26174,11.66674839,30076,13.40601836,28986,12.92016385,33378,14.87784548,27478,12.24799084,15006,6.688745559,6544,2.916909965,215517,96.06413279,2591,1.154907353,780,0.347675699,1761,0.784944751,78,0.03476757,3620,1.613571833,224347,598,1984,11.3,9.7,1.6,0.3,0.9,1.2,17126,48743,56558,30916,11.2,31.8,36.9,20.2,19327,8.7,10.4,9.4,65150,62512,67788,116200,112580,3620,3.1,65150,119.7,273.1,236.3,86.6,79.0,7.0,6.3,125.1284918,24.35190139,4.467566872,139.5565357,100.19068,397.8697874,67,222639,44346,19.9,29,99,172389,46.7,44.5,48.7,80437,32.5,30.7,34.0,56026,7.1,6.4,7.9,8.7,7.4,10.2,15022,10.6,9.6,11.5,18248,2.8,2.6,3.0,4742,2,36,25,12262
1524,29087,4404,484,10.99000908,493,11.19436876,389,8.832879201,434,9.854677566,509,11.55767484,654,14.85013624,665,15.09990917,435,9.877384196,341,7.742960945,4264,96.82107175,17,0.386012716,51,1.158038147,16,0.363306085,1,0.02270663,55,1.248864668,4404,-5,101,11.1,15.4,-4.3,0.0,3.2,3.2,301,1449,895,653,9.1,43.9,27.1,19.8,572,13.3,19.7,18.1,47191,42582,51800,2644,2581,63,2.4,47191,86.7,273.1,236.3,86.6,79.0,7.0,6.3,2.456310439,0.478035248,0.0876997,2.739537337,1.966773591,7.810305214,0,4499,1389,30.9,29,87,3491,49.6,47.0,52.0,1731,35.6,33.5,37.6,1243,10.0,8.9,11.2,10.8,9.2,12.5,377,13.7,12.4,15.0,478,3.7,3.3,4.0,128,6,1002,25,350
563,16029,7060,1065,15.08498584,1125,15.93484419,704,9.971671388,912,12.91784703,773,10.9490085,806,11.41643059,847,11.99716714,540,7.648725212,288,4.079320113,6864,97.22379603,11,0.155807365,48,0.679886686,32,0.45325779,17,0.240793201,88,1.246458924,7060,33,79,12.8,10.2,2.6,0.6,1.6,2.1,344,1439,1759,878,7.8,32.6,39.8,19.9,624,8.9,11.5,10.2,61219,54762,67676,3831,3723,108,2.8,61219,110.3,192.6,181.6,73.9,68.9,5.8,5.5,2.76893048,2.487207902,0.181107372,1.565572612,3.710688812,5.614328517,0,6862,1645,24.0,16,29,5040,40.6,38.5,42.9,2048,31.1,29.2,32.8,1567,7.2,6.5,8.0,7.0,6.0,8.2,354,10.8,10.0,11.8,547,3.0,2.8,3.3,152,6,463,12,364
2903,51179,149960,20320,13.55028007,22610,15.07735396,20384,13.59295812,20910,13.94371832,21106,14.07441985,21403,14.27247266,13064,8.711656442,7148,4.766604428,3015,2.010536143,107329,71.57175247,29190,19.46519072,1041,0.694185116,5589,3.726993865,257,0.171379034,6554,4.3704988,149960,3170,3455,11.6,5.2,6.4,1.8,13.2,15.0,5815,20648,28786,36557,6.3,22.5,31.4,39.8,7822,5.4,6.5,5.6,108421,103209,113633,70084,68014,2070,3.0,108421,149.3,263.2,231.8,90.3,81.7,7.3,6.3,78.83842617,37.00722908,1.690149377,74.78910995,65.65173988,206.902453,4,141159,19771,14.0,51,179,110872,38.0,36.3,39.6,42149,30.9,29.7,32.1,34259,5.0,4.6,5.5,5.3,4.5,6.0,5834,9.0,8.4,9.6,9946,2.3,2.2,2.5,2572,2,680,46,5584
2618,48195,5463,820,15.01006773,936,17.13344316,696,12.74025261,604,11.05619623,629,11.51382025,672,12.30093355,543,9.93959363,332,6.077246934,231,4.228445909,5222,95.58850448,52,0.951857954,93,1.70236134,23,0.421014095,3,0.054914882,70,1.281347245,5463,-20,70,12.2,7.1,5.1,4.4,-13.3,-9.0,1052,942,899,484,31.2,27.9,26.6,14.3,626,11.6,17.2,16.6,57240,50967,63513,2879,2812,67,2.3,57240,94.4,224.8,199.9,72.9,66.5,6.2,5.4,1.884328342,1.112134394,0.099545831,2.06705109,1.829511517,6.452016377,0,5532,1099,19.9,48,195,3869,50.9,49.0,52.9,1970,39.2,37.6,40.7,1517,9.1,8.3,9.9,9.1,7.8,10.4,351,14.8,13.8,15.7,572,3.7,3.4,4.0,143,6,1565,43,351
490,13215,194160,27633,14.23207664,25743,13.25865266,30396,15.65512979,28071,14.45766378,22456,11.56571899,22936,11.81293778,19437,10.01081582,11206,5.771528636,6282,3.235475896,88457,45.55881747,92819,47.80541821,990,0.509888752,5426,2.79460239,483,0.248763906,5985,3.082509271,194160,394,6328,13.9,9.8,4.1,1.4,-3.5,-2.1,16128,34761,43169,33352,12.7,27.3,33.9,26.2,37759,20.1,28.4,26.9,46628,43618,49638,79354,75325,4029,5.1,46628,79.5,228.7,202.9,79.1,71.9,7.0,6.1,88.8713933,61.40708733,2.676293256,91.87991606,62.9574917,236.030608,61,198647,34483,17.4,13,215,146048,47.6,46.1,49.1,69475,37.4,36.3,38.5,54622,6.9,6.4,7.4,7.6,6.8,8.5,11067,14.3,13.5,15.1,20949,3.4,3.2,3.6,4922,3,408,10,10041
