TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
0.06448690740704899,0.0008494714015501128,0.03991312269583526,0.005284180966936515,-0.019403413354337578,0.03650574967318713,0.09151623529010745,0.20707886576173168,0.20688943580627836,0.30744876321595405,0.15734038487424537,0.06448690740704899,0.4191530003908189,0.04738607498483026,-0.02240302264128595,0.08629848813316647,0.027400058351748937,0.023327705192457728,0.11915349463778599,0.10413600068117618,0.3024207953528714,0.1801356589189516,0.1973127540063516,0.1753081153980759,0.0823665066916708,0.25601301036173885,0.07982557421868096,0.1287850205480822,0.10785515155888906,0.21029207576249775,0.11615148472207286,0.12296573155997774,9325
-0.23537976286183385,-0.23172204505288999,-0.24493172996713058,-0.23395020550471057,-0.22100311877465362,-0.22299494792806565,-0.23378670946828908,-0.24008501501232254,-0.25088743165707433,-0.25148887103783135,-0.2343124731335732,-0.23537976286183385,-0.24118654720749347,-0.2500373557138956,-0.24194772141186263,-0.1442642226124266,-0.25435639536599486,-0.25589602376706744,-0.21578023998206936,-0.2415936924729886,-0.26273796857570647,-0.2380119965058302,-0.2517848521246327,-0.24038966796177977,-0.23010218751390105,-0.24504939078511762,-0.23470855278692437,-0.21620877740973898,-0.23433574478124058,-0.18213957113830506,-0.1972458536344508,-0.21421895818988212,2212
-0.22408742692542155,-0.22132948780644499,-0.22426672664633382,-0.21128724516886838,-0.21838638688988288,-0.21914336057962405,-0.22871154668060295,-0.23462533273165306,-0.22739897903264983,-0.23833561862233787,-0.23186679565612772,-0.22408742692542155,-0.23607688287315226,-0.24937551224296334,-0.21924146658449373,-0.19554161952060095,-0.22918525680829374,-0.23010361552218747,-0.20503780634019542,-0.256359802425184,-0.22678663785485145,-0.2266324085516833,-0.25781307336855247,-0.2403734371246,-0.2228649629289873,-0.2327242845436262,-0.22382718932255236,-0.23073415764901584,-0.23833236535335542,-0.23350346759578072,-0.21251880492101546,-0.21782832468927635,1716
-0.16726535354326177,-0.14045017199729126,-0.15342761296627475,-0.13860821230525802,-0.16542076420097723,-0.18636300303799608,-0.18828155789093456,-0.18456057628415495,-0.19561518037579895,-0.16735341162148523,-0.18545250650279227,-0.16726535354326177,-0.20824968651574696,-0.16432862622816558,-0.17130342936230414,-0.11490425021128907,-0.15811253253306368,-0.15871673976641987,-0.14211783786636234,-0.18363035827847615,-0.15392934268678676,-0.16406296174558846,-0.11342691586807199,-0.16072704964450785,-0.16687752775066836,-0.1858175171227511,-0.17156986413581765,-0.18106229970411636,-0.16791166791703424,-0.21462221403766957,-0.17925636951035487,-0.16857793664915524,2596
-0.23700699502288358,-0.22880865034363554,-0.2375544532075142,-0.23627696052706462,-0.22265481478702662,-0.2316191543821849,-0.2323947871847465,-0.25296562466477573,-0.26062544656470527,-0.23689934393328974,-0.23748917470834588,-0.23700699502288358,-0.2732866336005848,-0.23267900649898995,-0.22166127439330802,-0.24349819453376972,-0.22927190444532541,-0.22907508390506037,-0.2303592570674697,-0.2586260243408289,-0.21788371263872267,-0.23718313610448283,-0.21988891250921339,-0.2426578905285615,-0.23580004833859594,-0.252037086724202,-0.23834154687104597,-0.24953386213009626,-0.2472488379975265,-0.2850395335385887,-0.24433242281832607,-0.2460046696200312,1114
-0.2375666973601574,-0.24678907888507912,-0.2572919041871896,-0.2409854332888362,-0.23570135744655735,-0.24656498789733325,-0.25387321872925783,-0.24512064430031866,-0.144896352731888,-0.13477265420149856,-0.25481176666909433,-0.2375666973601574,-0.2555719436609698,-0.23698098906004977,-0.24101973686382222,-0.17934772922083847,-0.24015701384742938,-0.24189782148341982,-0.19723675333835838,-0.26778766867514664,-0.2534911689769382,-0.23757034027938598,-0.261496204183759,-0.24784765708340342,-0.23711792091029407,-0.19026288113506226,-0.23330609726269508,-0.2294436229207625,-0.2449650548134609,-0.22093509516652132,-0.200113304962956,-0.1863919067913267,2538
-0.2298619168929051,-0.23004793018264674,-0.2338226728583515,-0.22271949031807253,-0.2216712205324674,-0.2201481224966088,-0.2286901324916254,-0.24615427346995994,-0.23524349104157471,-0.22427524535060347,-0.2676793217225712,-0.2298619168929051,-0.2177568668451484,-0.2502028165816287,-0.2393047274459247,-0.1703619758578822,-0.24725670460671212,-0.2493801064343885,-0.19557423384616363,-0.25336959424470296,-0.2861368027281487,-0.2315358322363235,-0.2529640484025086,-0.241419700379506,-0.225633602785496,-0.23559370011010128,-0.22919387214516848,-0.21868916685198475,-0.22663405042646612,-0.2240341459025031,-0.18601751790598822,-0.20490446399789705,2003
-0.20173209649811402,-0.21052383728032956,-0.21695416284074914,-0.20159548606000782,-0.1896394529217277,-0.19241250707984187,-0.19412763148181353,-0.20353694770628764,-0.20841886664323958,-0.17876801572918358,-0.19653651585284254,-0.20173209649811402,-0.19710456500599924,-0.1745872000276159,-0.21228745579411484,-0.21398194816110253,-0.19199717408976244,-0.19294649803531508,-0.16769506082320507,-0.24788029994877717,-0.2430668821054633,-0.16802135249000202,-0.20361046847765768,-0.19637967381930627,-0.1978226154268661,-0.19915360915968452,-0.1983328030969269,-0.20264443367022525,-0.2062500707303911,-0.20968668879147637,-0.20123010179616332,-0.1976857309991086,2173
-0.1269667852595467,-0.0849869637636485,-0.10575573682957241,-0.1345409712425604,-0.11982281923018495,-0.128924113450367,-0.1407848867386652,-0.15424078730800997,-0.16189279541789195,-0.1321268850374625,-0.10229564491835101,-0.1269667852595467,-0.131764954876967,-0.11960906624903687,-0.1674505314919591,-0.1223467981053898,-0.11727983358188762,-0.1161683081985625,-0.140711090603736,-0.12770929833761174,-0.036404801383610054,-0.15671071913097057,-0.03742356513326769,-0.14483087088487584,-0.12427923491842552,-0.15009106320441107,-0.13771007737119637,-0.1296239651453666,-0.11628359061767853,-0.1699729275081544,-0.14490732096468176,-0.14436025174999403,2997
-0.0019784277080431446,-0.02308819706777199,0.0013873440622830494,0.07869605005805996,-0.02905377207831478,-0.028489786831764865,-0.02748241285829684,-0.003304425228337221,0.002706706562480398,0.019059924336025554,0.04454834221334033,-0.0019784277080431446,0.04739376357765197,0.012609208966752366,-0.06545445768645254,0.09223689905129409,-0.022433163896092193,-0.02371348810955379,0.0068694858572464716,0.004468591930871595,-0.17050288978772093,-0.09779999044201462,0.05331208213274661,-0.056034873922927775,0.0044348320106639225,0.0048425099470752325,0.005826664648793644,0.04407651764039018,0.015374080387125517,0.1312088921665185,0.01627362739550667,0.009096040062960149,6495
-0.2586579195818172,-0.2547900434597481,-0.26544573639518665,-0.2537001418361883,-0.24323606060412417,-0.2514004046228224,-0.2620748531076704,-0.26892061851411075,-0.2696421270347339,-0.255722101700289,-0.26737313361897863,-0.2586579195818172,-0.27264570009523187,-0.2751874076093222,-0.2523434976778851,-0.22482345493597367,-0.26143442421601965,-0.2622480541937206,-0.23918339898758045,-0.2830942197842436,-0.2984653109956533,-0.24387378401892015,-0.27493339407818035,-0.25390658010135486,-0.25673650293351474,-0.2688818941688459,-0.2583388712429084,-0.26494705704058286,-0.27088842350918446,-0.26305922924449576,-0.24255158462483334,-0.24647039432963047,1274
